voltage_V,current_A,sweep
-1.0,8.230098058311405e-08,fwd
-0.95,-1.3768715406309883e-07,fwd
-0.9,-3.512837516543332e-07,fwd
-0.85,-5.55750085042283e-07,fwd
-0.8,-7.659234738198334e-07,fwd
-0.75,-9.39541460510721e-07,fwd
-0.7,-1.1254487550050818e-06,fwd
-0.65,-1.2748871556456904e-06,fwd
-0.6,-1.4129183729768052e-06,fwd
-0.55,-1.544253159422313e-06,fwd
-0.5,-1.6344211614245856e-06,fwd
-0.44999999999999996,-1.6797608198774436e-06,fwd
-0.4,-1.7139654602035254e-06,fwd
-0.35,-1.701500488281726e-06,fwd
-0.30000000000000004,-1.6569386817435213e-06,fwd
-0.25,-1.549539605757271e-06,fwd
-0.19999999999999996,-1.3695904330399267e-06,fwd
-0.15000000000000002,-1.1407765054108164e-06,fwd
-0.09999999999999998,-8.419390978433624e-07,fwd
-0.050000000000000044,-4.6388180696394703e-07,fwd
0.0,0.0,fwd
0.050000000000000044,5.405890083085115e-07,fwd
0.10000000000000009,1.1670155190693918e-06,fwd
0.1499999999999999,1.847133531441106e-06,fwd
0.19999999999999996,2.6493673902152527e-06,fwd
0.25,3.461507137599874e-06,fwd
0.30000000000000004,4.344215983623705e-06,fwd
0.3500000000000001,5.3146467676853825e-06,fwd
0.3999999999999999,6.283284692848242e-06,fwd
0.44999999999999996,7.243979894433778e-06,fwd
0.5,8.342835868889236e-06,fwd
0.55,9.551269199859272e-06,fwd
0.6000000000000001,1.0664636214543379e-05,fwd
0.6499999999999999,1.165797079640578e-05,fwd
0.7,1.2875414057563717e-05,fwd
0.75,1.4042948080980856e-05,fwd
0.8,1.5103195329785584e-05,fwd
0.8500000000000001,1.637151818254771e-05,fwd
0.8999999999999999,1.7498998236956936e-05,fwd
0.95,1.8686349333374047e-05,fwd
1.0,1.9928336996731925e-05,fwd
0.95,1.4167187968474192e-05,rev
0.9,1.3173994678836736e-05,rev
0.85,1.2193010198639813e-05,rev
0.8,1.1319325752135903e-05,rev
0.75,1.037875505317524e-05,rev
0.7,9.643602551108007e-06,rev
0.65,8.785633803742413e-06,rev
0.6,7.847046055905166e-06,rev
0.55,7.047014883871358e-06,rev
0.5,6.295289189102518e-06,rev
0.44999999999999996,5.509822425278774e-06,rev
0.4,4.7319735455970285e-06,rev
0.35,4.032207777971163e-06,rev
0.30000000000000004,3.407059688310014e-06,rev
0.25,2.7696138090710103e-06,rev
0.19999999999999996,2.1517209851155136e-06,rev
0.15000000000000002,1.603934333917855e-06,rev
0.09999999999999998,1.0380377432745366e-06,rev
0.050000000000000044,5.093266422430434e-07,rev
0.0,0.0,rev
-0.050000000000000044,-4.925799895506686e-07,rev
-0.10000000000000009,-9.705940574563132e-07,rev
-0.1499999999999999,-1.411995937425854e-06,rev
-0.19999999999999996,-1.8538667828098642e-06,rev
-0.25,-2.2345190977846605e-06,rev
-0.30000000000000004,-2.5894987383083715e-06,rev
-0.3500000000000001,-2.9628236880794443e-06,rev
-0.3999999999999999,-3.2598740370924503e-06,rev
-0.44999999999999996,-3.522817929265007e-06,rev
-0.5,-3.7605351508351678e-06,rev
-0.55,-3.9450362261958216e-06,rev
-0.6000000000000001,-4.124891303757173e-06,rev
-0.6499999999999999,-4.310680134400418e-06,rev
-0.7,-4.429116832828069e-06,rev
-0.75,-4.5550425885379865e-06,rev
-0.8,-4.6184831876912695e-06,rev
-0.8500000000000001,-4.672067914673911e-06,rev
-0.8999999999999999,-4.794340949435599e-06,rev
-0.95,-4.84019249704206e-06,rev
-1.0,-4.869063082594619e-06,rev
